movieId,title,genres,year,avg_rating,n_ratings
1,"Toy Story",Adventure|Animation|Children|Comedy|Fantasy,1995,3.92093023255814,215
2,"Jumanji",Adventure|Children|Fantasy,1995,3.43181818181818,110
3,"Grumpier Old Men",Comedy|Romance,1995,3.25961538461538,52
4,"Waiting to Exhale",Comedy|Drama|Romance,1995,2.35714285714286,7
5,"Father of the Bride Part II",Comedy,1995,3.07142857142857,49
6,"Heat",Action|Crime|Thriller,1995,3.94607843137255,102
7,"Sabrina",Comedy|Romance,1995,3.18518518518519,54
8,"Tom and Huck",Adventure|Children,1995,2.875,8
9,"Sudden Death",Action,1995,3.125,16
10,"GoldenEye",Action|Adventure|Thriller,1995,3.49621212121212,132
11,"American President, The",Comedy|Drama|Romance,1995,3.67142857142857,70
12,"Dracula: Dead and Loving It",Comedy|Horror,1995,2.42105263157895,19
13,"Balto",Adventure|Animation|Children,1995,3.125,8
14,"Nixon",Drama,1995,3.83333333333333,18
15,"Cutthroat Island",Action|Adventure|Romance,1995,3,13
16,"Casino",Crime|Drama,1995,3.92682926829268,82
17,"Sense and Sensibility",Drama|Romance,1995,3.77611940298507,67
18,"Four Rooms",Comedy,1995,3.7,20
19,"Ace Ventura: When Nature Calls",Comedy,1995,2.72727272727273,88
20,"Money Train",Action|Comedy|Crime|Drama|Thriller,1995,2.5,15
21,"Get Shorty",Comedy|Crime|Thriller,1995,3.49438202247191,89
22,"Copycat",Crime|Drama|Horror|Mystery|Thriller,1995,3.22222222222222,36
23,"Assassins",Action|Crime|Thriller,1995,3.125,16
24,"Powder",Drama|Sci-Fi,1995,3.125,28
25,"Leaving Las Vegas",Drama|Romance,1995,3.625,76
26,"Othello",Drama,1995,3.5,13
27,"Now and Then",Children|Drama,1995,3.33333333333333,9
28,"Persuasion",Drama|Romance,1995,4.22727272727273,11
29,"City of Lost Children, The",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,4.01315789473684,38
30,"Shanghai Triad",Crime|Drama,1995,3,3
31,"Dangerous Minds",Drama,1995,3.18421052631579,38
32,"Twelve Monkeys",Mystery|Sci-Fi|Thriller,1995,3.98305084745763,177
33,"Babe",Children|Drama,1995,3.65234375,128
34,"Dead Man Walking",Crime|Drama,1995,3.83582089552239,67
35,"It Takes Two",Children|Comedy,1995,2.125,4
36,"Clueless",Comedy|Romance,1995,3.29326923076923,104
37,"Cry, the Beloved Country",Drama,1995,4.25,2
38,"Richard III",Drama|War,1995,3.7,15
39,"Dead Presidents",Action|Crime|Drama,1995,3,7
40,"Restoration",Drama,1995,3.1875,8
41,"Mortal Kombat",Action|Adventure|Fantasy,1995,2.54347826086957,46
42,"To Die For",Comedy|Drama|Thriller,1995,3.3125,32
43,"How to Make an American Quilt",Drama|Romance,1995,3.06666666666667,15
44,"Seven",Mystery|Thriller,1995,3.97536945812808,203
45,"Pocahontas",Animation|Children|Drama|Musical|Romance,1995,3.14705882352941,68
46,"When Night Is Falling",Drama|Romance,1995,3,1
47,"Usual Suspects, The",Crime|Mystery|Thriller,1995,4.23774509803922,204
48,"Mighty Aphrodite",Comedy|Drama|Romance,1995,3.46428571428571,28
49,"Lamerica",Adventure|Drama,1994,5,2
50,"Big Green, The",Children|Comedy,1995,2.33333333333333,3
51,"Georgia",Drama,1995,4,1
52,"Home for the Holidays",Drama,1995,3.0625,8
53,"Postman, The",Comedy|Drama|Romance,1994,4.02702702702703,37
54,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995,3.23529411764706,34
55,"Eye for an Eye",Drama|Thriller,1996,3.75,6
56,"Mr. Holland's Opus",Drama,1995,3.70625,80
57,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",Comedy|Crime,1996,2.71428571428571,7
58,"Two if by Sea",Comedy|Romance,1996,2.2,5
59,"Bio-Dome",Comedy,1996,2.53225806451613,31
60,"Lawnmower Man 2: Beyond Cyberspace",Action|Sci-Fi|Thriller,1996,2.5,9
61,"French Twist",Comedy|Romance,1995,3.4,5
62,"Friday",Comedy,1995,3.775,20
63,"From Dusk Till Dawn",Action|Comedy|Horror|Thriller,1996,3.50909090909091,55
64,"Fair Game",Action,1995,1.7,5
65,"Kicking and Screaming",Comedy|Drama,1995,3.21428571428571,7
66,"Misérables, Les",Drama|War,1995,3.46153846153846,13
67,"Bed of Roses",Drama|Romance,1996,4,8
68,"Big Bully",Comedy|Drama,1996,2.2,5
69,"Screamers",Action|Sci-Fi|Thriller,1995,3.4,15
70,"Nico Icon",Documentary,1995,4,1
71,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995,3.33333333333333,3
72,"Juror, The",Drama|Thriller,1996,2.76470588235294,17
73,"White Balloon, The",Children|Drama,1995,4,2
74,"Things to Do in Denver When You're Dead",Crime|Drama|Romance,1995,3.10714285714286,14
75,"Antonia's Line",Comedy|Drama,1995,3.875,8
76,"Once Upon a Time... When We Were Colored",Drama|Romance,1995,3,1
77,"Angels and Insects",Drama|Romance,1995,3.85714285714286,7
78,"White Squall",Action|Adventure|Drama,1996,3.96666666666667,15
79,"Dunston Checks In",Children|Comedy,1996,2.5,7
80,"Black Sheep",Comedy,1996,3.15625,16
81,"Nick of Time",Action|Thriller,1995,3.25,10
82,"Mary Reilly",Drama|Horror|Thriller,1996,2.625,8
83,"Vampire in Brooklyn",Comedy|Horror|Romance,1995,2.83333333333333,9
84,"Beautiful Girls",Comedy|Drama|Romance,1996,3.95,10
